,GO_ID,GO_term,GO_term_count
137,GO:0005515,protein binding,136
357,GO:0005886,plasma membrane,117
286,GO:0005634,nucleus,97
655,GO:0005829,cytosol,93
927,GO:0005737,cytoplasm,75
1161,GO:0005654,nucleoplasm,73
959,GO:0005887,integral component of plasma membrane,37
489,GO:0016020,membrane,34
1041,GO:0016021,integral component of membrane,33
1239,GO:0070062,extracellular exosome,28
1579,GO:0098978,glutamatergic synapse,27
842,GO:0005524,ATP binding,26
1393,GO:0045944,positive regulation of transcription by RNA polymerase II,24
1076,GO:0046872,metal ion binding,24
1608,GO:0042802,identical protein binding,24
305,GO:0005794,Golgi apparatus,23
156,GO:0005576,extracellular region,22
995,GO:0007165,signal transduction,22
2621,GO:0004674,protein serine/threonine kinase activity,22
1291,GO:0003723,RNA binding,20
3387,GO:0000785,chromatin,20
2358,GO:0045892,"negative regulation of transcription, DNA-templated",19
3055,GO:0014069,postsynaptic density,19
479,GO:0009986,cell surface,19
2542,GO:0006357,regulation of transcription by RNA polymerase II,18
2472,GO:0043005,neuron projection,18
752,GO:0008270,zinc ion binding,18
565,GO:0045202,synapse,18
1890,GO:0005783,endoplasmic reticulum,17
1875,GO:0000122,negative regulation of transcription by RNA polymerase II,17
1629,GO:0005739,mitochondrion,17
598,GO:0048471,perinuclear region of cytoplasm,17
444,GO:0007155,cell adhesion,16
1479,GO:0007268,chemical synaptic transmission,16
1462,GO:0005813,centrosome,16
2523,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",16
185,GO:0005615,extracellular space,16
1434,GO:0003677,DNA binding,16
3209,GO:0030425,dendrite,15
1670,GO:0005509,calcium ion binding,15
2006,GO:0043197,dendritic spine,14
787,GO:0043025,neuronal cell body,13
2039,GO:0045211,postsynaptic membrane,13
1785,GO:0032991,protein-containing complex,13
552,GO:0042803,protein homodimerization activity,13
1015,GO:0007186,G protein-coupled receptor signaling pathway,12
459,GO:0007399,nervous system development,12
4342,GO:0016579,protein deubiquitination,12
2026,GO:0044877,protein-containing complex binding,12
2645,GO:0006468,protein phosphorylation,11
1,GO:0001540,amyloid-beta binding,11
1513,GO:0043231,intracellular membrane-bounded organelle,11
3867,GO:0038023,signaling receptor activity,11
1101,GO:0005096,GTPase activator activity,11
839,GO:0005516,calmodulin binding,11
1337,GO:0010628,positive regulation of gene expression,11
3126,GO:0007411,axon guidance,11
1949,GO:0016607,nuclear speck,10
2189,GO:0034220,ion transmembrane transport,10
1285,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,10
1721,GO:0008360,regulation of cell shape,10
3332,GO:0006511,ubiquitin-dependent protein catabolic process,10
3154,GO:0030424,axon,10
3345,GO:0016567,protein ubiquitination,10
5022,GO:0004843,thiol-dependent ubiquitin-specific protease activity,10
2043,GO:0045893,"positive regulation of transcription, DNA-templated",10
2660,GO:0016477,cell migration,9
4268,GO:0006338,chromatin remodeling,9
4304,GO:0003713,transcription coactivator activity,9
3344,GO:0016032,viral process,9
1236,GO:0043547,positive regulation of GTPase activity,9
2775,GO:0008022,protein C-terminus binding,9
3279,GO:0035235,ionotropic glutamate receptor signaling pathway,9
1886,GO:0003682,chromatin binding,9
2691,GO:0035556,intracellular signal transduction,9
3779,GO:0000139,Golgi membrane,9
4048,GO:0004972,NMDA glutamate receptor activity,9
3193,GO:0019899,enzyme binding,9
1835,GO:0062023,collagen-containing extracellular matrix,8
1220,GO:0043524,negative regulation of neuron apoptotic process,8
2682,GO:0031267,small GTPase binding,8
3141,GO:0007420,brain development,8
3827,GO:0055114,oxidation-reduction process,8
2062,GO:0005789,endoplasmic reticulum membrane,8
2146,GO:0005769,early endosome,8
4456,GO:0016925,protein sumoylation,8
2105,GO:0001764,neuron migration,8
1916,GO:0006974,cellular response to DNA damage stimulus,8
1933,GO:0008134,transcription factor binding,8
2166,GO:0007158,neuron cell-cell adhesion,8
2319,GO:0035176,social behavior,8
1698,GO:0005925,focal adhesion,8
2865,GO:0007613,memory,8
2292,GO:0008284,positive regulation of cell population proliferation,8
5678,GO:0007179,transforming growth factor beta receptor signaling pathway,8
4891,GO:0003714,transcription corepressor activity,8
3982,GO:0043235,receptor complex,8
1491,GO:0008076,voltage-gated potassium channel complex,8
4139,GO:0061630,ubiquitin protein ligase activity,8
4131,GO:0000209,protein polyubiquitination,8
4068,GO:0017146,NMDA selective glutamate receptor complex,8
2236,GO:0070588,calcium ion transmembrane transport,8
1731,GO:0016324,apical plasma membrane,8
2224,GO:0030182,neuron differentiation,8
1205,GO:0019901,protein kinase binding,7
2117,GO:0021987,cerebral cortex development,7
4168,GO:0005730,nucleolus,7
2216,GO:0030165,PDZ domain binding,7
4715,GO:0018105,peptidyl-serine phosphorylation,7
1996,GO:0043065,positive regulation of apoptotic process,7
4019,GO:0051897,positive regulation of protein kinase B signaling,7
3898,GO:0050804,modulation of chemical synaptic transmission,7
3714,GO:0005201,extracellular matrix structural constituent,7
2206,GO:0006816,calcium ion transport,7
3076,GO:0015629,actin cytoskeleton,7
1345,GO:0010629,negative regulation of gene expression,7
1725,GO:0016323,basolateral plasma membrane,7
2172,GO:0043204,perikaryon,7
2494,GO:0051015,actin filament binding,7
2246,GO:0098793,presynapse,7
1909,GO:0006915,apoptotic process,7
1973,GO:0030426,growth cone,7
783,GO:0042493,response to drug,7
2154,GO:0005938,cell cortex,6
3240,GO:0007275,multicellular organism development,6
3390,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,6
3157,GO:0031175,neuron projection development,6
2372,GO:0005262,calcium channel activity,6
2601,GO:0050821,protein stabilization,6
2565,GO:0045296,cadherin binding,6
3311,GO:0008021,synaptic vesicle,6
3768,GO:1904315,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,6
1493,GO:0010389,regulation of G2/M transition of mitotic cell cycle,6
3854,GO:0015276,ligand-gated ion channel activity,6
757,GO:0009897,external side of plasma membrane,6
1442,GO:0005102,signaling receptor binding,6
2974,GO:0000226,microtubule cytoskeleton organization,6
2708,GO:0001938,positive regulation of endothelial cell proliferation,6
1529,GO:0060090,molecular adaptor activity,6
3659,GO:0006325,chromatin organization,6
1420,GO:0000086,G2/M transition of mitotic cell cycle,6
5592,GO:0015171,amino acid transmembrane transporter activity,6
1271,GO:0000932,P-body,6
1215,GO:0032147,activation of protein kinase activity,6
2720,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,6
1196,GO:0015031,protein transport,6
4931,GO:0042043,neurexin family protein binding,6
4000,GO:0046777,protein autophosphorylation,6
1545,GO:0097060,synaptic membrane,6
3936,GO:0001701,in utero embryonic development,6
2734,GO:0008285,negative regulation of cell population proliferation,6
1990,GO:0042734,presynaptic membrane,6
4532,GO:0006366,transcription by RNA polymerase II,6
2951,GO:2000463,positive regulation of excitatory postsynaptic potential,6
3577,GO:2000310,regulation of NMDA receptor activity,6
2921,GO:0060079,excitatory postsynaptic potential,6
1979,GO:0031625,ubiquitin protein ligase binding,6
4263,GO:0099149,regulation of postsynaptic neurotransmitter receptor internalization,6
2930,GO:0098794,postsynapse,6
1931,GO:0007409,axonogenesis,6
1959,GO:0030027,lamellipodium,6
3182,GO:0007612,learning,5
4278,GO:0032452,histone demethylase activity,5
2446,GO:0034765,regulation of ion transmembrane transport,5
2404,GO:0070509,calcium ion import,5
5173,GO:0002116,semaphorin receptor complex,5
2456,GO:0042391,regulation of membrane potential,5
2898,GO:0045766,positive regulation of angiogenesis,5
4315,GO:0004402,histone acetyltransferase activity,5
5142,GO:0006397,mRNA processing,5
4291,GO:0035097,histone methyltransferase complex,5
4807,GO:0003779,actin binding,5
3109,GO:0045471,response to ethanol,5
4549,GO:0005765,lysosomal membrane,5
4648,GO:0017154,semaphorin receptor activity,5
2908,GO:0050808,synapse organization,5
1094,GO:0003924,GTPase activity,5
3088,GO:0019233,sensory perception of pain,5
2749,GO:0030335,positive regulation of cell migration,5
2584,GO:0005874,microtubule,5
2575,GO:0051301,cell division,5
4365,GO:0048511,rhythmic process,5
2491,GO:0007601,visual perception,5
1187,GO:0005768,endosome,5
4352,GO:0042826,histone deacetylase binding,5
4771,GO:0060999,positive regulation of dendritic spine development,5
2504,GO:0072659,protein localization to plasma membrane,5
734,GO:0007568,aging,5
2090,GO:0044267,cellular protein metabolic process,5
3639,GO:0099061,integral component of postsynaptic density membrane,5
3362,GO:0043687,post-translational protein modification,5
2693,GO:0042641,actomyosin,5
2995,GO:0008017,microtubule binding,5
3648,GO:0006368,transcription elongation from RNA polymerase II promoter,5
3892,GO:0035249,"synaptic transmission, glutamatergic",5
5104,GO:0007049,cell cycle,5
1749,GO:0030659,cytoplasmic vesicle membrane,5
2706,GO:0106311,protein threonine kinase activity,5
2701,GO:0106310,protein serine kinase activity,5
3601,GO:0005085,guanyl-nucleotide exchange factor activity,5
2112,GO:0007283,spermatogenesis,5
3431,GO:0043195,terminal bouton,5
3482,GO:0003674,molecular_function,5
3458,GO:0060076,excitatory synapse,5
1980,GO:0042393,histone binding,5
3030,GO:0072686,mitotic spindle,5
3399,GO:1990837,sequence-specific double-stranded DNA binding,5
3544,GO:0000165,MAPK cascade,5
1414,GO:0043066,negative regulation of apoptotic process,5
178,GO:0005604,basement membrane,5
5693,GO:0030509,BMP signaling pathway,5
1553,GO:0097711,ciliary basal body-plasma membrane docking,5
2339,GO:0150104,transport across blood-brain barrier,5
5421,GO:0046982,protein heterodimerization activity,5
2394,GO:0050796,regulation of insulin secretion,5
2729,GO:0007162,negative regulation of cell adhesion,5
526,GO:0031225,anchored component of membrane,5
2287,GO:0007204,positive regulation of cytosolic calcium ion concentration,5
1642,GO:0005759,mitochondrial matrix,5
1677,GO:0005543,phospholipid binding,5
2253,GO:0098839,postsynaptic density membrane,5
2826,GO:0019904,protein domain specific binding,5
2842,GO:0001933,negative regulation of protein phosphorylation,5
2924,GO:0070374,positive regulation of ERK1 and ERK2 cascade,4
2990,GO:0007030,Golgi organization,4
2891,GO:0035094,response to nicotine,4
2816,GO:0012505,endomembrane system,4
3005,GO:0010634,positive regulation of epithelial cell migration,4
4222,GO:0034446,substrate adhesion-dependent cell spreading,4
3099,GO:0042220,response to cocaine,4
3846,GO:0007616,long-term memory,4
4321,GO:0006367,transcription initiation from RNA polymerase II promoter,4
4385,GO:1901796,regulation of signal transduction by p53 class mediator,4
4446,GO:0035264,multicellular organism growth,4
5351,GO:1900407,regulation of cellular response to oxidative stress,4
4475,GO:0016887,ATPase activity,4
4503,GO:0043198,dendritic shaft,4
4248,GO:0050839,cell adhesion molecule binding,4
3956,GO:0008543,fibroblast growth factor receptor signaling pathway,4
3849,GO:0008066,glutamate receptor activity,4
3910,GO:0031624,ubiquitin conjugating enzyme binding,4
3996,GO:0045666,positive regulation of neuron differentiation,4
5280,GO:0010821,regulation of mitochondrion organization,4
4944,GO:0051965,positive regulation of synapse assembly,4
4881,GO:0000976,transcription regulatory region sequence-specific DNA binding,4
5147,GO:0004435,phosphatidylinositol phospholipase C activity,4
4910,GO:0060766,negative regulation of androgen receptor signaling pathway,4
4960,GO:0097105,presynaptic membrane assembly,4
5114,GO:0035091,phosphatidylinositol binding,4
4875,GO:0051056,regulation of small GTPase mediated signal transduction,4
4748,GO:0043087,regulation of GTPase activity,4
4644,GO:0010507,negative regulation of autophagy,4
4663,GO:0071526,semaphorin-plexin signaling pathway,4
4799,GO:0000146,microfilament motor activity,4
4827,GO:0030048,actin filament-based movement,4
3822,GO:0032324,molybdopterin cofactor biosynthetic process,4
3296,GO:0016055,Wnt signaling pathway,4
3302,GO:0060997,dendritic spine morphogenesis,4
3312,GO:0017124,SH3 domain binding,4
3395,GO:0043565,sequence-specific DNA binding,4
3406,GO:0001726,ruffle,4
3420,GO:0032433,filopodium tip,4
3261,GO:0060213,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,4
3223,GO:0048812,neuron projection morphogenesis,4
3172,GO:0007417,central nervous system development,4
3214,GO:0030534,adult behavior,4
3229,GO:0071625,vocalization behavior,4
3252,GO:0035195,gene silencing by miRNA,4
3445,GO:0048010,vascular endothelial growth factor receptor signaling pathway,4
3712,GO:0005178,integrin binding,4
3684,GO:0009925,basal plasma membrane,4
3688,GO:0031965,nuclear membrane,4
3721,GO:0005788,endoplasmic reticulum lumen,4
3682,GO:0007229,integrin-mediated signaling pathway,4
3789,GO:0031410,cytoplasmic vesicle,4
3582,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",4
3530,GO:0008542,visual learning,4
3554,GO:0030672,synaptic vesicle membrane,4
3621,GO:0004888,transmembrane signaling receptor activity,4
3655,GO:0006281,DNA repair,4
2535,GO:0005815,microtubule organizing center,4
2379,GO:0005891,voltage-gated calcium channel complex,4
2069,GO:0007219,Notch signaling pathway,4
2617,GO:0004672,protein kinase activity,4
627,GO:0004000,adenosine deaminase activity,4
2123,GO:0030496,midbody,4
629,GO:0005764,lysosome,4
