,GO_ID,GO_term,GO_term_count
184,GO:0005515,protein binding,150
337,GO:0005634,nucleus,142
1367,GO:0005654,nucleoplasm,122
957,GO:0005886,plasma membrane,90
711,GO:0005829,cytosol,83
459,GO:0005737,cytoplasm,66
1804,GO:0045944,positive regulation of transcription by RNA polymerase II,57
13,GO:0000785,chromatin,50
515,GO:0006357,regulation of transcription by RNA polymerase II,47
68,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",46
1594,GO:0000122,negative regulation of transcription by RNA polymerase II,44
1635,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,42
1831,GO:0046872,metal ion binding,42
121,GO:0003677,DNA binding,36
2523,GO:0003723,RNA binding,36
2578,GO:0016020,membrane,32
1541,GO:0045893,"positive regulation of transcription, DNA-templated",30
1696,GO:0003682,chromatin binding,28
1977,GO:0005524,ATP binding,27
786,GO:0042802,identical protein binding,25
2986,GO:0045892,"negative regulation of transcription, DNA-templated",25
1491,GO:0003713,transcription coactivator activity,23
2836,GO:0008270,zinc ion binding,22
2132,GO:0004674,protein serine/threonine kinase activity,20
763,GO:0032991,protein-containing complex,20
573,GO:0030424,axon,20
2383,GO:0005887,integral component of plasma membrane,18
1451,GO:0014069,postsynaptic density,18
1095,GO:0043005,neuron projection,16
2430,GO:0016032,viral process,16
2429,GO:0016021,integral component of membrane,16
3274,GO:0070062,extracellular exosome,16
3072,GO:0003714,transcription corepressor activity,16
1519,GO:0045202,synapse,15
2630,GO:0005730,nucleolus,15
591,GO:0030425,dendrite,15
2167,GO:0006468,protein phosphorylation,15
2026,GO:0006355,"regulation of transcription, DNA-templated",15
805,GO:0007420,brain development,15
1218,GO:0007165,signal transduction,14
2206,GO:0000165,MAPK cascade,14
2508,GO:0007268,chemical synaptic transmission,14
3845,GO:0007399,nervous system development,14
2335,GO:0048471,perinuclear region of cytoplasm,14
1126,GO:0045211,postsynaptic membrane,14
2299,GO:0005813,centrosome,14
1245,GO:0009986,cell surface,13
1729,GO:1990837,sequence-specific double-stranded DNA binding,13
1192,GO:0005794,Golgi apparatus,13
3615,GO:0016567,protein ubiquitination,13
3091,GO:0005667,transcription regulator complex,12
825,GO:0016607,nuclear speck,12
2957,GO:0035176,social behavior,12
1916,GO:0043231,intracellular membrane-bounded organelle,12
2044,GO:0016604,nuclear body,12
1114,GO:0044325,ion channel binding,12
849,GO:0005739,mitochondrion,12
1665,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",12
2219,GO:0004672,protein kinase activity,11
1710,GO:0007411,axon guidance,11
1157,GO:0072659,protein localization to plasma membrane,11
3891,GO:0043197,dendritic spine,11
1052,GO:0019901,protein kinase binding,10
5765,GO:0005248,voltage-gated sodium channel activity,10
615,GO:0043025,neuronal cell body,10
3961,GO:2000463,positive regulation of excitatory postsynaptic potential,10
1010,GO:0010628,positive regulation of gene expression,10
2186,GO:0003700,DNA-binding transcription factor activity,10
2701,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",9
3115,GO:0008134,transcription factor binding,9
4054,GO:0007416,synapse assembly,9
3295,GO:0008285,negative regulation of cell population proliferation,9
3208,GO:0008022,protein C-terminus binding,9
2251,GO:0043066,negative regulation of apoptotic process,9
3007,GO:0007612,learning,9
2238,GO:0031267,small GTPase binding,9
2742,GO:0098978,glutamatergic synapse,9
2944,GO:0008013,beta-catenin binding,9
4743,GO:0050804,modulation of chemical synaptic transmission,9
3799,GO:0005789,endoplasmic reticulum membrane,9
3681,GO:0005576,extracellular region,9
3822,GO:0007275,multicellular organism development,9
3678,GO:0003924,GTPase activity,9
1617,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,9
3079,GO:0004402,histone acetyltransferase activity,8
4598,GO:0060291,long-term synaptic potentiation,8
4513,GO:0038023,signaling receptor activity,8
3606,GO:0008284,positive regulation of cell population proliferation,8
